df,Treatment,sample,group,apH_First 7th,bHeight_First,cStem_First,dFresh biomass_Firstclip,dDry biomass_firstclip,dFresh biomass_Secondclip,dDry biomass_Secondclip,epH_Second,fEC_Second,gHeight_Second,hStem_Second,iCholorophyll_Second,jAmmonia_Second Lechates,kNitrate_Second Lechates,lPhosphate_Second Lechates,pH Harvest day,EC harvest day,Root Length (cm),Nodules Count,Shoot Biomass_harvestday,Root Biomass_harvestday
2,3,hBCF100_1,hBCF100,5.42,11.4,8,15,4.67,10.25,4.51,5.34,0.51,39.5,25,22,-0.748,2.381,0.298,5.8,0.46,28,0,41.97,29.24
2,3,hBCF100_2,hBCF100,5.48,13,7,11.5,4.84,8.78,3.94,4.88,0.66,39,15,22.9,7.07,91.4402,0.541,5.17,0.56,24,0,33.05,22.2
2,3,hBCF100_3,hBCF100,5.61,18,12,14.5,4.91,8.35,4.47,5.19,0.5,39.3,23,22,5.39,91.2978,0.683,5.25,0.75,26,0,35.77,33.52
2,3,hBCF100_4,hBCF100,5.42,16,7,15.5,4.51,11.8,4.48,5.32,0.51,53.6,15,18.1,1.091,91.0303,0.206,5.19,0.63,26,0,29.22,15.41
2,3,hBCF100_5,hBCF100,5.45,15,6,13.25,4.67,8.95,4.46,4.88,0.59,46,12,16.7,5.047,44.9928,0.154,5.44,0.66,25,0,32.84,14.24
2,4,iBCF200_1,iBCF200,5.48,14.5,9,14,4.58,9.84,4.45,4.73,0.46,39,17,18.9,26.982,45.1142,0.422,4.64,0.51,23,0,39.79,21.88
2,4,iBCF200_2,iBCF200,5.49,10.5,7,15,4.64,9.39,4.48,4.7,0.56,37.9,18,20.2,83.162,38.9386,0.362,4.77,0.66,22,0,37.97,23.64
2,4,iBCF200_3,iBCF200,5.45,12.2,9,14,4.59,9.18,4.43,4.83,0.75,37.6,22,21.6,28.589,35.313,0.803,4.84,0.5,22,0,37.61,28.27
2,4,iBCF200_4,iBCF200,5.44,12.8,9,14.5,4.51,8.83,4.41,4.56,0.53,33,20,19.2,83.285,19.245,0.354,4.97,0.53,23,0,37.43,32.54
2,4,iBCF200_5,iBCF200,5.51,11.1,9,13.5,4.74,8.28,4.53,4.43,0.65,37.8,20,19.1,62.889,0.0117,0.193,4.75,0.65,21,0,42.67,33.96
2,5,jBCK_1,jBCK,5.35,10.4,9,15.2,4.32,10,4.36,6.19,0.6,45.1,19,15.7,-0.331,0.8762,0.063,5.78,0.6,20,0,29.64,12.68
2,5,jBCK_2,jBCK,5.49,10.5,6,16.32,4.32,13.32,4.3,6.25,0.68,59.3,10,21.2,-0.458,0.0586,0.126,5.76,0.68,21,0,29.6,16.71
2,5,jBCK_3,jBCK,5.54,11.8,3,10,4.73,9.36,4.41,5.79,0.51,46.5,11,19.5,-0.47,0.2339,0.175,5.81,0.51,22,0,29.58,13.84
2,5,jBCK_4,jBCK,5.43,11.8,4,10.5,4.42,7.3,4.43,6.26,0.61,44.2,17,19.8,-0.458,0.0586,0.329,5.65,0.61,24,0,6.08,9.63
2,5,jBCK_5,jBCK,5.48,12.2,7,10.53,4.52,7.07,4.76,6.13,0.62,42.2,16,18.3,-0.47,0.2339,0.406,5.9,0.62,25,0,6.48,11.93
